,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,10847119,10847119.0,10847119.0,10847119.0,84782.0,1719650.0,51941.0,3173192.0,3073700.0,6210662.0,2433153.0,1722804.0,2901261.0,9039279.0,9476935.0,9419838.0,57079.0,10847119.0,10847119.0,10847119.0
unique,202,,,,,,,,,,,,,,,,,,,
top,48_245_0102,,,,,,,,,,,,,,,,,,,
freq,57096,,,,,,,,,,,,,,,,,,,
mean,,31.434926986694336,-99.69744110107422,1467334525.253821,171.4792022705078,70.26077270507812,3.577134609222412,6.299393653869629,9.749616622924805,20.740110397338867,7.862437725067139,0.35867974162101746,0.3481215238571167,68.02631378173828,161.1252899169922,6.2921319007873535,60.264312744140625,12.99220926773275,15.738447324123577,6.480921523954886
std,,2.0978121757507324,3.660259962081909,9032695.983173892,78.73943328857422,24.828428268432617,13.386313438415527,7.281375885009766,17.46672248840332,56.30806350708008,8.105263710021973,2.648775100708008,0.5034676194190979,25.777023315429688,97.34200286865234,4.0705718994140625,14.3017578125,3.741199797228482,8.807975326791405,3.4159483469857648
min,,25.89251708984375,-106.54730224609375,1451631600.0,-47.12099838256836,-204.77000427246094,-2.0664899349212646,-86.4000015258789,-75.77999877929688,-1000.0,-16.399999618530273,-904.4760131835938,-9.520000457763672,-1000.0,0.0,0.0,9.5,7.0,1.0,1.0
25%,,29.587739944458008,-97.76025390625,1459599000.0,125.70625114440918,55.70000076293945,0.2588900029659271,1.68464994430542,1.9453400373458862,13.324700355529785,4.019999980926514,-0.06575000286102295,0.0,58.380001068115234,88.4000015258789,3.299999952316284,52.029998779296875,10.0,8.0,4.0
50%,,29.901037216186523,-97.08858489990234,1467289200.0,154.34249877929688,74.5,0.7433199882507324,3.7766098976135254,4.437709808349609,22.640399932861328,6.726600170135498,0.1943099945783615,0.08290000259876251,70.5,161.0,5.559999942779541,65.18000030517578,13.0,16.0,6.0
75%,,32.37868118286133,-95.28409576416016,1475089800.0,192.95824813842773,87.93800354003906,2.1876800060272217,8.380794763565063,10.488699913024902,32.87300109863281,10.236300468444824,0.5004100203514099,0.6621000170707703,79.08999633789062,215.4499969482422,8.5,71.22000122070312,16.0,23.0,9.0
max,,35.382747650146484,-93.76134490966797,1483214100.0,1000.0,260.8299865722656,515.4769897460938,576.5020141601562,1000.0,298.71099853515625,998.8150024414062,495.3739929199219,38.895999908447266,1000.0,360.0,274.4200134277344,79.2699966430664,19.0,31.0,12.0
