,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,2018741,2018741.0,2018741.0,2018741.0,24210.0,501398.0,12538.0,984321.0,985627.0,2018741.0,559719.0,453308.0,1006224.0,1671250.0,1776778.0,1776775.0,13487.0,2018741.0,2018741.0,2018741.0
unique,119,,,,,,,,,,,,,,,,,,,
top,48_141_0058,,,,,,,,,,,,,,,,,,,
freq,42076,,,,,,,,,,,,,,,,,,,
mean,,30.364986419677734,-97.11256408691406,1465492747.142848,165.65232849121094,46.29497146606445,0.45368656516075134,3.152308940887451,3.663404941558838,48.568115234375,7.29445219039917,0.5396263003349304,0.5918179750442505,75.85274505615234,160.50082397460938,7.644681930541992,56.19797134399414,15.624957337271102,15.407548070802545,5.790672503307754
std,,1.562506079673767,3.26151180267334,7860549.234757321,43.2330322265625,22.950292587280273,1.1365821361541748,3.629750967025757,6.003885746002197,8.092979431152344,9.89652156829834,2.528306007385254,0.5217873454093933,14.83724594116211,88.42584991455078,4.0967183113098145,12.307126998901367,7.3928292758005965,9.10946989093342,2.9707468749536714
min,,25.89251708984375,-106.50125885009766,1451625900.0,-12.729999542236328,-204.41000366210938,-1.0585399866104126,-61.310001373291016,-27.265499114990234,40.000099182128906,-16.399999618530273,-29.000499725341797,-4.800000190734863,-60.83000183105469,0.0,0.0,9.289999961853027,0.0,1.0,1.0
25%,,29.686389923095703,-97.75439453125,1459116300.0,141.15825271606445,30.18000030517578,0.0849399995058775,1.1831300258636475,1.2750200033187866,42.89780044555664,3.510450005531311,0.10191000252962112,0.07639999687671661,68.80000305175781,104.0,4.699999809265137,48.779998779296875,14.0,7.0,3.0
50%,,30.036422729492188,-96.8084945678711,1463349900.0,160.47249603271484,46.5099983215332,0.3305099904537201,2.328660011291504,2.591049909591675,46.58570098876953,6.050000190734863,0.33122000098228455,0.5671399831771851,76.4000015258789,152.4199981689453,7.0,58.09000015258789,19.0,15.0,5.0
75%,,31.89391326904297,-95.26721954345703,1472848800.0,185.03150177001953,60.61000061035156,0.6605499982833862,4.22898006439209,4.78000020980835,52.22679901123047,9.18589973449707,0.6463000178337097,1.0130000114440918,84.11000061035156,200.41000366210938,9.890000343322754,66.72000122070312,21.0,23.0,9.0
max,,33.410648345947266,-93.76134490966797,1483225200.0,1000.0,260.7099914550781,106.08999633789062,399.2690124511719,474.27099609375,298.71099853515625,998.5349731445312,409.5660095214844,38.85900115966797,1000.0,360.0,155.39999389648438,76.5999984741211,23.0,31.0,12.0
