,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,8351888,8351888.0,8351888.0,8351888.0,66429.0,1328051.0,42575.0,2610411.0,2530611.0,4585482.0,1880192.0,1255222.0,2234151.0,6960291.0,7297509.0,7253521.0,43916.0,8351888.0,8351888.0,8351888.0
unique,202,,,,,,,,,,,,,,,,,,,
top,48_441_1509,,,,,,,,,,,,,,,,,,,
freq,43920,,,,,,,,,,,,,,,,,,,
mean,,31.290197372436523,-98.43944549560547,1467312568.009413,168.31097412109375,64.71259307861328,1.0279518365859985,6.551085472106934,8.662195205688477,25.357681274414062,8.564258575439453,0.3953411877155304,0.1158633828163147,70.65998077392578,155.0819549560547,6.561721324920654,60.874237060546875,8.691019563480737,15.742494631154058,6.478339149183993
std,,2.031515598297119,2.9583311080932617,9031878.857776772,66.20552825927734,25.814559936523438,3.8732199668884277,8.11761474609375,17.733083724975586,58.86809158325195,8.719589233398438,3.1302645206451416,0.3088841438293457,25.6381893157959,89.5420150756836,4.1017279624938965,14.077399253845215,8.874564678113897,8.808787238194473,3.4156699503896557
min,,25.89251708984375,-106.54730224609375,1451606400.0,-71.7030029296875,-204.72999572753906,-1.2125699520111084,-29.365800857543945,-38.314300537109375,-1000.0,-16.399999618530273,-29.000499725341797,-9.447199821472168,-408.29998779296875,0.0,0.0,9.289999961853027,0.0,1.0,1.0
25%,,29.587739944458008,-97.76025390625,1459563900.0,125.51799774169922,48.91999816894531,0.05178000032901764,1.5598299503326416,1.6989749670028687,18.32349967956543,4.501500129699707,-0.04980999976396561,0.0,62.58000183105469,102.0,3.5799999237060547,53.367499351501465,2.0,8.0,4.0
50%,,29.901037216186523,-97.08858489990234,1467255000.0,156.2729949951172,68.87999725341797,0.29745998978614807,3.6695098876953125,3.9948999881744385,27.799999237060547,7.230000019073486,0.20006999373435974,0.0,73.08999633789062,146.82000732421875,5.886000156402588,65.9000015258789,4.0,16.0,6.0
75%,,32.37868118286133,-95.28409576416016,1475101200.0,195.10499572753906,82.95500183105469,0.7127100229263306,8.331310272216797,9.223949909210205,38.20000076293945,10.850299835205078,0.49976998567581177,0.08900000154972076,81.63999938964844,188.16000366210938,8.800000190734863,71.86000061035156,21.0,23.0,9.0
max,,35.382747650146484,-93.76134490966797,1483228500.0,1000.0,293.17999267578125,73.62000274658203,520.1849975585938,1000.0,283.7229919433594,999.5180053710938,423.18701171875,38.5099983215332,1000.0,360.0,171.75,78.27999877929688,23.0,31.0,12.0
