,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,34668288,30546144.0,30546144.0,36042336.0,1701138.0,1144446.0,3021652.0,3928131.0,4043577.0,6367258.0,0.0,2031333.0,1519562.0,9749498.0,8797635.0,9168384.0,0.0,36042336.0,36042336.0,36042336.0
unique,326,,,,,,,,,,,,,,,,,,,
top,48_201_0671,,,,,,,,,,,,,,,,,,,
freq,211392,,,,,,,,,,,,,,,,,,,
mean,,30.540904998779297,-97.41067504882812,962539050.0,579.4596557617188,68.2822036743164,7.10194730758667,11.320581436157227,18.0192813873291,26.240619659423828,,2.2602524757385254,-0.15450237691402435,68.08163452148438,161.43235778808594,7.141171932220459,,11.5,15.716621253405995,6.498637602179836
std,,1.8166697025299072,3.0647881031036377,9153542.23441386,899.7469482421875,24.411880493164062,24.592844009399414,11.695158958435059,30.767742156982422,19.451156616210938,,9.704334259033203,41.02713394165039,18.875102996826172,89.76829528808594,4.239309310913086,,6.922186648460281,8.833076524353073,3.4584924660698646
min,,25.89251708984375,-106.54730224609375,946684800.0,-20480.6328125,-6.389999866485596,-185.48223876953125,-572.2470092773438,-171.23387145996094,-457.28070068359375,,-78.48005676269531,-3997.999755859375,-141.89999389648438,0.0,0.0,,0.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,954611925.0,260.12872314453125,50.09000015258789,0.0,3.624929904937744,3.7263200283050537,12.07175064086914,,-0.049789998680353165,-0.0003000000142492354,57.20000076293945,104.0999984741211,4.0,,5.75,8.0,3.0
50%,,29.961124420166016,-97.0707015991211,962539050.0,392.3987121582031,72.26000213623047,0.6090999841690063,7.949190139770508,8.865119934082031,23.140239715576172,,0.5194299817085266,0.004900000058114529,71.9000015258789,154.1999969482422,6.5,,11.5,16.0,7.0
75%,,31.89391326904297,-95.25360107421875,970466175.0,604.13330078125,89.0999984741211,3.5750274658203125,16.017196655273438,19.83091926574707,36.73017883300781,,1.8623600006103516,0.45579999685287476,80.80000305175781,204.39999389648438,9.600000381469727,,17.25,23.0,10.0
max,,35.382747650146484,-93.741943359375,978393300.0,50703.09375,114.69999694824219,853.9409790039062,664.8743896484375,886.9465942382812,545.9340209960938,,1759.4288330078125,1.9368000030517578,149.89999389648438,360.0,52.400001525878906,,23.0,31.0,12.0
