,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,15929784,14216904.0,14216904.0,15929784.0,1478136.0,3124466.0,2722115.0,2866986.0,2926482.0,6347572.0,2740626.0,1889679.0,3263612.0,9175580.0,9255505.0,9298420.0,0.0,15929784.0,15929784.0,15929784.0
unique,277,,,,,,,,,,,,,,,,,,,
top,48_245_0628,,,,,,,,,,,,,,,,,,,
freq,114192,,,,,,,,,,,,,,,,,,,
mean,,30.474565505981445,-97.43953704833984,1246584450.0,233.3020477294922,64.78797149658203,3.5666916370391846,6.993736267089844,10.804387092590332,23.844806671142578,9.161347389221191,3.7168190479278564,0.3380211889743805,66.98514556884766,172.38597106933594,7.047445774078369,,13.0,15.680327868852459,6.5109289617486334
std,,1.8129078149795532,3.0748367309570312,9128576.786314443,446.19830322265625,28.572500228881836,16.670927047729492,8.172739028930664,21.257726669311523,16.619619369506836,6.840911865234375,73.65940856933594,0.4384152889251709,16.044105529785156,98.06000518798828,4.6362810134887695,,3.741657504216135,8.817766489671932,3.455199834654761
min,,25.89251708984375,-106.54730224609375,1230793200.0,-2404.138427734375,-85.77999877929688,-177.849853515625,-129.0324249267578,-31.18939971923828,-298.5,-4.9359002113342285,-1285.6822509765625,-0.020500000566244125,-2366.0,0.0,0.0,,7.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,1238678925.0,80.18299865722656,48.246498107910156,0.08003000169992447,2.174959897994995,2.433069944381714,12.649999618530273,4.70959997177124,-0.2888000011444092,0.00039999998989515007,55.599998474121094,101.19999694824219,3.631082534790039,,10.0,8.0,4.0
50%,,29.901037216186523,-97.1300048828125,1246584450.0,175.03465270996094,68.50759887695312,0.4891799986362457,4.531579971313477,5.19419002532959,22.674579620361328,8.006199836730957,0.050620000809431076,0.08060000091791153,69.69999694824219,167.91200256347656,6.199999809265137,,13.0,16.0,7.0
75%,,31.83657455444336,-95.2572250366211,1254489975.0,296.08172607421875,83.43000030517578,1.7869600057601929,9.133365631103516,11.149740219116211,34.18553924560547,12.140700340270996,0.6130499839782715,0.6371999979019165,79.0,239.6999969482422,9.5,,16.0,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1262375700.0,44145.94921875,2479.090087890625,716.7376098632812,528.975341796875,728.8173217773438,298.1450500488281,879.2999877929688,1338.94677734375,1.9394999742507935,2864.800048828125,360.0,55.74169921875,,19.0,31.0,12.0
