,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,8482027,8482027.0,8482027.0,8482027.0,62640.0,1510328.0,43189.0,2597491.0,2599797.0,4684992.0,2239853.0,1443058.0,2242650.0,7121413.0,7490387.0,7463530.0,42724.0,8482027.0,8482027.0,8482027.0
unique,205,,,,,,,,,,,,,,,,,,,
top,48_361_1100,,,,,,,,,,,,,,,,,,,
freq,43800,,,,,,,,,,,,,,,,,,,
mean,,30.46173858642578,-97.19893646240234,1404435289.1665754,155.3195343017578,63.74065399169922,1.6096738576889038,6.528689384460449,8.543869018554688,28.67889976501465,9.24442195892334,0.3170054256916046,0.14909061789512634,69.29017639160156,157.70269775390625,7.185766220092773,58.126564025878906,8.700032551181456,15.731532686703307,6.580484358278982
std,,1.9191467761993408,2.7280540466308594,8966084.696763195,67.70545196533203,23.077014923095703,5.443618297576904,8.481234550476074,16.784095764160156,15.96563720703125,8.50606632232666,2.7765512466430664,1.1148203611373901,16.043710708618164,89.0030517578125,4.386346340179443,15.27677059173584,8.877541057110946,8.80015512628232,3.3966020527863874
min,,25.89251708984375,-106.54730224609375,1388534400.0,-1000.0,0.019999999552965164,-2.119189977645874,-449.5679931640625,-411.5840148925781,-644.0079956054688,-15.0,-28.761699676513672,-2.4022998809814453,-61.099998474121094,0.0,0.0,-35.5,0.0,1.0,1.0
25%,,29.520442962646484,-97.73028564453125,1396837800.0,115.66075134277344,48.84000015258789,0.06594999879598618,1.8071600198745728,1.9758000373840332,17.752899169921875,4.839099884033203,-0.12410999834537506,0.0,59.209999084472656,105.69999694824219,4.0,48.099998474121094,2.0,8.0,4.0
50%,,29.893848419189453,-97.10832977294922,1404521700.0,145.36099243164062,69.05999755859375,0.47936001420021057,3.8591198921203613,4.175469875335693,27.837600708007812,7.79010009765625,0.13774999976158142,0.00039999998989515007,72.0,151.27000427246094,6.5,62.400001525878906,5.0,16.0,7.0
75%,,32.35359573364258,-95.26721954345703,1412123700.0,181.80099487304688,81.58999633789062,1.241170048713684,8.13545036315918,8.977629661560059,38.72159957885742,11.8100004196167,0.4605900049209595,0.08659999817609787,81.19999694824219,189.1999969482422,9.670000076293945,71.30000305175781,21.0,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1420070100.0,1000.0,137.77999877929688,123.06900024414062,559.5,650.1119995117188,393.04998779296875,998.9710083007812,1000.0,45.27000045776367,999.9000244140625,360.0,1000.0,77.80000305175781,23.0,31.0,12.0
