,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,75024,75024.0,75024.0,75024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75024.0,75024.0,75024.0,75024.0,75024.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,75024,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1059656422.7447217,,,,,,,,,,,,,,,,13.000959692898272,211.98112603966732,15.855566218809981,7.471689059500959,2003.0
std,,0.0,0.0,9350944.735143771,,,,,,,,,,,,,,,,3.7412119383366624,108.22839931594338,8.780367292243099,3.5344260216984114,0.0
min,,29.717599868774414,-95.34140014648438,1041404400.0,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,2003.0
25%,,29.717599868774414,-95.34140014648438,1051610325.0,,,,,,,,,,,,,,,,10.0,119.0,8.0,4.0,2003.0
50%,,29.717599868774414,-95.34140014648438,1061989050.0,,,,,,,,,,,,,,,,13.0,239.0,16.0,8.0,2003.0
75%,,29.717599868774414,-95.34140014648438,1067711175.0,,,,,,,,,,,,,,,,16.0,305.0,23.0,11.0,2003.0
max,,29.717599868774414,-95.34140014648438,1072900500.0,,,,,,,,,,,,,,,,19.0,365.0,31.0,12.0,2003.0
