,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,27862,27862.0,27862.0,27862.0,25738.0,26486.0,25692.0,25692.0,25692.0,27862.0,0.0,26915.0,26491.0,26445.0,25890.0,25888.0,0.0,25888.0,25888.0,27862.0,27862.0,27862.0,27862.0,27862.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,27862,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.68639373779297,-95.29472351074219,1153280331.358122,136.7261199951172,54.26018524169922,0.8581088781356812,9.42296314239502,10.273385047912598,58.90742492675781,,3.689605236053467,0.6247283816337585,82.15708923339844,149.15936279296875,5.716067314147949,,-1.6321358190195456,1.848132686093884,16.235805039121384,199.45642810997057,14.984495011126265,7.098090589333142,2006.0
std,,0.0,0.0,6111187.689007059,71.76068115234375,13.568483352661133,1.0699890851974487,5.885428428649902,6.311213493347168,18.5367431640625,,6.617954254150391,0.4583195149898529,7.70947790145874,85.02448272705078,2.271892547607422,,4.557483520530818,3.3144880538432453,6.902035039135441,70.69404695942026,8.63590877793601,2.309097355899491,0.0
min,,29.686389923095703,-95.29472351074219,1140725400.0,-114.80879211425781,7.829999923706055,-3.0182600021362305,1.0246800184249878,0.6951299905776978,40.001991271972656,,-2.5192999839782715,-0.007400000002235174,52.400001525878906,0.0,0.0,,-14.539912219793164,-16.29997516872108,0.0,54.0,1.0,2.0,2006.0
25%,,29.686389923095703,-95.29472351074219,1148248875.0,92.15817260742188,45.59000015258789,0.25947999954223633,5.310420036315918,5.985717296600342,45.895012855529785,,0.6696100234985352,0.1964000016450882,78.0999984741211,95.0,4.099999904632568,,-4.930675367108923,-0.3922954786392241,16.0,141.0,7.0,5.0,2006.0
50%,,29.686389923095703,-95.29472351074219,1152916500.0,130.16766357421875,53.869998931884766,0.5685700178146362,7.975680112838745,8.803750038146973,53.19411849975586,,1.522860050201416,0.6122999787330627,83.69999694824219,141.10000610351562,5.5,,-2.37069443319556,2.3157647975967945,19.0,195.0,14.0,7.0,2006.0
75%,,29.686389923095703,-95.29472351074219,1158186225.0,172.64244079589844,63.547499656677246,1.1031099557876587,11.805299758911133,12.59613037109375,65.53821563720703,,3.735469937324524,1.0355000495910645,88.0,187.1999969482422,7.099999904632568,,1.6871076905925175,4.214560208361595,21.0,256.0,22.0,9.0,2006.0
max,,29.686389923095703,-95.29472351074219,1167260100.0,1218.2357177734375,92.16000366210938,29.690839767456055,55.25914001464844,64.6998062133789,159.02976989746094,,120.12110900878906,1.6418299674987793,96.4000015258789,359.8999938964844,16.299999237060547,,14.099978520182038,14.035086396977219,23.0,361.0,31.0,12.0,2006.0
