,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,132448,132448.0,132448.0,132448.0,126437.0,119664.0,126561.0,126555.0,126555.0,125877.0,93913.0,126233.0,131857.0,132304.0,131955.0,131955.0,0.0,131955.0,131955.0,132448.0,132448.0,132448.0,132448.0,132448.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,132448,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686399459838867,-95.29470825195312,1248892727.6999276,169.51791381835938,68.63189697265625,7.7377848625183105,3.860600709915161,11.612479209899902,21.52042579650879,10.812458038330078,2.201000213623047,0.24968890845775604,69.26661682128906,164.66554260253906,5.762314319610596,,-1.2497043204432794,0.573823010282839,11.502567045179996,210.27856970282676,15.768543126359024,7.419183377627446,2009.0
std,,0.0,0.0,9480712.007610578,282.455078125,18.26314353942871,25.157634735107422,10.390567779541016,31.272136688232422,16.10679817199707,6.391905784606934,4.214982032775879,0.3838443160057068,13.92382526397705,97.50949096679688,3.1009538173675537,,5.399172939806949,3.431954134021903,6.921067585639127,109.73002306086134,8.85149980156427,3.5871815141501697,0.0
min,,29.686389923095703,-95.29472351074219,1230768000.0,-143.54539489746094,5.420000076293945,-2.346909999847412,-20.59197998046875,-19.65019989013672,-11.69674015045166,0.053700000047683716,-3.05826997756958,-0.010200000368058681,27.899999618530273,0.0,0.0,,-20.2401711420231,-18.71707776707891,0.0,1.0,1.0,1.0,2009.0
25%,,29.686389923095703,-95.29472351074219,1240615125.0,35.72084045410156,56.37750053405762,0.32311999797821045,-3.236690044403076,-2.472249984741211,8.744729995727539,6.650899887084961,0.5002400279045105,-0.0007999999797903001,58.5,92.19999694824219,3.4000000953674316,,-4.976136914751934,-1.3931135287394067,6.0,114.0,8.0,4.0,2009.0
50%,,29.686389923095703,-95.29472351074219,1250548650.0,93.8292236328125,72.20999908447266,1.0374000072479248,1.0020400285720825,2.441200017929077,19.326250076293945,9.632800102233887,0.8880800008773804,0.0034000000450760126,71.30000305175781,166.39999389648438,5.400000095367432,,-1.335880873474566,0.6486157146886121,12.0,229.0,16.0,8.0,2009.0
75%,,29.686389923095703,-95.29472351074219,1257336975.0,181.90130615234375,83.0999984741211,3.3772099018096924,8.624110221862793,12.887370109558105,31.52691078186035,13.484399795532227,2.0274999141693115,0.4023999869823456,80.0,218.0,7.699999809265137,,2.9339050145577983,2.736143575215844,18.0,308.0,23.0,11.0,2009.0
max,,29.686389923095703,-95.29472351074219,1262303700.0,4705.31591796875,99.79000091552734,532.4307250976562,70.84539031982422,533.5966186523438,158.81715393066406,88.78399658203125,128.8327178955078,1.742900013923645,100.69999694824219,359.8999938964844,24.600000381469727,,23.4484904277065,14.79774588831459,23.0,365.0,31.0,12.0,2009.0
