,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,44040,44040.0,44040.0,44040.0,43419.0,41660.0,39632.0,43155.0,43155.0,40128.0,35123.0,36030.0,43372.0,43303.0,43445.0,43445.0,0.0,43445.0,43445.0,44040.0,44040.0,44040.0,44040.0,44040.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,44040,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.6863956451416,-95.29470825195312,1277976076.26703,242.72352600097656,67.00828552246094,3.6065514087677,11.993385314941406,15.643369674682617,26.81230926513672,11.443891525268555,1.5787503719329834,0.10964247584342957,71.0757827758789,171.35784912109375,5.834367752075195,,-2.030514402005023,0.8145367772188946,8.7,182.00817438692098,15.640326975476839,6.4959128065395095,2010.0
std,,0.0,0.0,9152455.604512231,226.68016052246094,17.51729393005371,15.346414566040039,10.719738006591797,22.118133544921875,16.692441940307617,6.209856033325195,2.937424421310425,0.2293267548084259,14.408888816833496,87.25802612304688,2.8654093742370605,,5.113234246271835,3.3644414015367454,8.877600438754351,105.93055262122249,8.839035023208178,3.462466625946415,0.0
min,,29.686389923095703,-95.29472351074219,1262304000.0,-237.52365112304688,9.890000343322754,-6.475880146026611,-5.4323601722717285,-4.925350189208984,-1.2092299461364746,-0.16099999845027924,-9.29716968536377,-0.005429999902844429,26.799999237060547,0.0,0.10000000149011612,,-17.010309900856413,-16.204240455330325,0.0,1.0,1.0,1.0,2010.0
25%,,29.686389923095703,-95.29472351074219,1270070925.0,145.5723114013672,56.36000061035156,0.21850000321865082,4.852650165557861,5.449020147323608,14.38302993774414,7.1115500926971436,0.3600499927997589,-0.0010000000474974513,59.900001525878906,124.0,3.5999999046325684,,-5.489758007098947,-1.3704143942341498,2.0,90.0,8.0,3.0,2010.0
50%,,29.686389923095703,-95.29472351074219,1277960250.0,201.34359741210938,71.05999755859375,0.5980499982833862,8.189620018005371,8.935709953308105,24.79804039001465,10.23490047454834,0.7024400234222412,9.999999747378752e-05,73.9000015258789,167.60000610351562,5.5,,-2.869846772307982,0.6610549623252924,4.5,182.0,16.0,7.0,2010.0
75%,,29.686389923095703,-95.29472351074219,1285899975.0,275.0058898925781,80.81999969482422,1.2938200235366821,15.239630222320557,16.55631446838379,37.02888202667236,14.762750148773193,1.7535099983215332,0.08990000188350677,82.69999694824219,207.89999389648438,7.800000190734863,,1.2570295525207715,2.9280038233760366,21.0,274.0,23.0,10.0,2010.0
max,,29.686389923095703,-95.29472351074219,1293839700.0,2650.326904296875,94.80000305175781,239.07899475097656,71.44740295410156,273.6249694824219,120.92694854736328,114.1520004272461,87.82501220703125,1.3992999792099,98.0,359.8999938964844,17.899999618530273,,17.353070996748258,15.281733901323946,23.0,365.0,31.0,12.0,2010.0
