,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,25691,25691.0,25691.0,25691.0,0.0,25691.0,0.0,24679.0,24679.0,24771.0,25691.0,24909.0,25691.0,25691.0,25691.0,25691.0,0.0,25691.0,25691.0,25691.0,25691.0,25691.0,25691.0,25691.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,25691,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.68639373779297,-95.29472351074219,1491173103.4914951,,69.83238220214844,,7.976870536804199,10.120325088500977,33.4148063659668,8.936184883117676,-0.07438182085752487,0.3006579875946045,73.39283752441406,178.80789184570312,6.540286540985107,,-3.664365162725036,1.2164725831694951,11.20680393912265,92.46195165622203,2.4619516562220234,4.0,2017.0
std,,0.0,0.0,97905.1190221634,,18.087421417236328,,6.26021146774292,7.540684700012207,13.377866744995117,4.7117719650268555,0.7951611876487732,0.4465739130973816,6.230442523956299,67.60260009765625,3.0130841732025146,,3.8382051698171193,4.71337588015652,6.807313662108867,1.1121880031269946,1.1121880031269948,0.0,0.0
min,,29.686389923095703,-95.29472351074219,1491004800.0,,24.520000457763672,,1.3848700523376465,1.7951600551605225,1.314520001411438,-0.3237000107765198,-0.6293200254440308,0.0010000000474974513,59.5,0.0,0.30000001192092896,,-14.091332948313909,-10.055402811315306,0.0,91.0,1.0,4.0,2017.0
25%,,29.686389923095703,-95.29472351074219,1491088500.0,,65.04000091552734,,3.6690099239349365,5.618850231170654,23.35810089111328,5.627900123596191,-0.33886998891830444,0.0012000000569969416,68.19999694824219,127.5,4.099999904632568,,-5.627183907021344,-2.262173546558913,5.0,91.0,1.0,4.0,2017.0
50%,,29.686389923095703,-95.29472351074219,1491172200.0,,74.30000305175781,,5.773290157318115,7.7191901206970215,35.13819885253906,8.542400360107422,-0.19363999366760254,0.007199999876320362,73.80000305175781,163.1999969482422,6.5,,-3.573233217879612,1.306661162123513,11.0,92.0,2.0,4.0,2017.0
75%,,29.686389923095703,-95.29472351074219,1491258600.0,,83.0199966430664,,9.873950004577637,11.165900230407715,45.19940185546875,11.711400032043457,-0.09681999683380127,0.5159000158309937,76.9000015258789,223.6999969482422,8.899999618530273,,-1.6658719978554104,5.0727976476991445,17.0,93.0,3.0,4.0,2017.0
max,,29.686389923095703,-95.29472351074219,1491433500.0,,94.08999633789062,,34.15409851074219,48.32569885253906,55.311100006103516,26.118099212646484,6.82574987411499,1.6654000282287598,85.9000015258789,358.70001220703125,14.300000190734863,,9.97915618272179,11.71849036419894,23.0,95.0,5.0,4.0,2017.0
