Year →,2002,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AQS_Code,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epoch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co,100,100,3.33,3.41,4.96,5.73,5.06,3.15,4.37,4.78,99.89,100,100,100
humid,100,100,3.16,0.42,48.02,16.99,1.23,13.62,0.07,23.07,0.08,0,0,0
no,100,100,6.37,4.33,5.27,4.61,6.15,4.2,3.84,10.1,99.89,100,100,100
no2,100,100,6.37,4.33,18.74,4.61,6.15,4.2,3.84,10.1,5.2,4.33,4.59,3.94
nox,100,100,6.37,4.33,18.74,4.61,6.15,4.2,3.84,10.09,5.2,4.33,4.59,3.94
o3,100,100,3.79,6.03,19.1,6.22,7.65,3.71,3.66,4.81,3.53,3.43,3.01,3.58
pm25,100,100,100,19.6,6.53,33.69,10.43,21.48,1.81,2.52,0.34,0.28,8.66,0
so2,100,100,3.4,3.61,5.69,6.05,5.85,3.4,3.7,6.06,3.13,3.22,3.2,3.04
solar,100,100,3.25,0.34,2.77,0.68,0.32,14.15,1.33,1.29,0.03,0,0,0
temp,100,100,3.06,12.38,17.67,0.19,1.67,0.07,0.07,1.47,0.03,0,0,0
winddir,100,100,5.79,5.68,3.86,0.19,1.38,13.65,0.07,1.6,0.03,0,0,0
windspd,100,100,5.79,5.68,3.86,0.19,1.38,0.1,0.07,1.59,0.03,0,0,0
dew,100,100,100,100,100,100,100,100,100,100,100,100,100,100
wind_x_dir,100,100,5.79,5.68,3.86,0.19,1.38,13.65,0.07,1.6,0.03,0,0,0
wind_y_dir,100,100,5.79,5.68,3.86,0.19,1.38,13.65,0.07,1.6,0.03,0,0,0
hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day_of_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,0,0,0,0,0,0,0,0
month,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
