YEAR,2002 to 2009 blank,2009,2010,2011,2012,2013,2014,2015,2016,2017
AQS_Code,0,0,0,0,0,0,0,0,0,0
Latitude,0,0,0,0,0,0,0,0,0,0
Longitude,0,0,0,0,0,0,0,0,0,0
epoch,0,0,0,0,0,0,0,0,0,0
co,100,100,45.35,67.41,27.91,29.14,34.54,20.56,20.9,18.83
humid,100,100,29.84,9.57,0.24,0.44,0.06,0.04,0.1,0.01
no,100,100,100,100,100,100,100,100,100,100
no2,100,100,100,100,100,100,100,100,100,100
nox,100,100,100,100,100,100,100,100,100,100
o3,100,100,33.23,7.02,3.18,6.3,14.22,7.5,3.77,3.73
pm25,100,100,100,100,100,100,100,100,100,100
so2,100,100,100,100,100,100,100,100,100,100
solar,100,100,100,100,100,100,100,100,100,100
temp,100,100,29.84,1.15,0.52,0.6,0.06,0.04,0.1,0.01
winddir,100,100,29.83,9.57,0.88,1.74,0.06,0.04,0.1,0.01
windspd,100,100,29.83,1.01,4.87,1.73,0.06,0.04,0.1,0.01
dew,100,,100,100,100,100,100,100,100,100
wind_x_dir,100,100,29.83,9.57,4.87,1.74,0.06,0.04,0.1,0.01
wind_y_dir,100,100,29.83,9.57,4.87,1.74,0.06,0.04,0.1,0.01
hour,0,0,0,0,0,0,0,0,0,0
day_of_year,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,0,0,0,0
month,0,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,0,0,0,0
