,,Activation Date,Deactivation Date,Latitude,Longitude,Region,Site ID,Site Name
48_001_0647,1,26-Jul-05,25-Oct-06,31.779444,-95.705833,5,48_001_0647,Palestine C647
48_005_5013,2,2-Sep-05,,31.233889,-94.75,10,48_005_5013,Lufkin KLFK
48_021_0684,3,16-Aug-06,,30.140877,-97.4588971,11,48_021_0684,McKinney Roughs
48_025_0001,4,1-Jan-75,30-Jun-80,28.418889,-97.7525,14,48_025_0001,AC Jones High School
48_025_0641,5,26-Jul-05,18-Oct-06,28.359722,-97.79,14,48_025_0641,Beeville
48_027_0001,6,20-Sep-90,30-Dec-96,31.156667,-97.408333,9,48_027_0001,Draughton Miller Airport
48_027_0651,7,31-Jul-05,7-Nov-06,30.9975,-97.339444,9,48_027_0651,TEMPLE C651
48_027_1045,8,4-Oct-13,,31.1224187,-97.4310523,9,48_027_1045,Temple Georgia
48_027_1047,9,11-Jun-09,,31.0880022,-97.6797343,9,48_027_1047,Killeen Skylark Field
48_029_0001,10,1-Jan-77,31-Dec-81,29.281944,-98.295833,13,48_029_0001,Calveras State Park
48_029_0002,11,1-Jan-81,31-Dec-82,0,0,13,48_029_0002,Camp Bullis - TACB/SAMHD
48_029_0003,12,1-Jan-68,31-Dec-69,29.641944,-98.418611,13,48_029_0003,San Antonio
48_029_0004,13,1-Jan-68,31-Dec-69,29.52,-98.802778,13,48_029_0004,Culebra Road
48_029_0005,14,1-Jan-68,30-Jun-80,29.506111,-98.570278,13,48_029_0005,Oak Hills Country Club
48_029_0006,15,1-Jan-68,31-Dec-69,29.571944,-98.525278,13,48_029_0006,Cadillac Drive Water Pump Station
48_029_0007,16,1-Jan-68,31-Dec-69,29.520833,-98.477778,13,48_029_0007,San Antonio City Service Center
48_029_0008,17,1-Jan-68,31-Dec-74,29.520833,-98.477778,13,48_029_0008,Newport
48_029_0009,18,1-Jan-68,31-Dec-69,29.511111,-98.291944,13,48_029_0009,SARA Sewage Treatment Plant
48_029_0011,19,1-Jan-68,31-Dec-69,29.385556,-98.638333,13,48_029_0011,Lackland City Spring
48_029_0012,20,1-Jan-68,31-Dec-69,29.423611,-98.579167,13,48_029_0012,Hwy 90 Water Pump Station
48_029_0013,21,1-Jan-68,31-Dec-69,29.470833,-98.519444,13,48_029_0013,Edison Dr Water Pump Station
48_029_0014,22,1-Jan-68,31-Dec-69,29.561667,-98.68,13,48_029_0014,Helotes Park Estates
48_029_0015,23,1-Jan-68,31-Dec-69,29.444444,-98.413056,13,48_029_0015,Seale Road Water Pump Station
48_029_0017,24,1-Jan-68,31-Dec-69,29.3275,-98.5375,13,48_029_0017,Bexar Metro Water
48_029_0018,25,1-Jan-68,31-Dec-69,29.3525,-98.453889,13,48_029_0018,New Braunfels Rd City Service Center
48_029_0019,26,1-Jan-68,31-Dec-69,29.365,-98.318056,13,48_029_0019,Beck Road
48_029_0020,27,1-Jan-68,31-Dec-69,29.225556,-98.666667,13,48_029_0020,Somerset Water Pump Station
48_029_0021,28,1-Jan-68,31-Dec-73,29.266667,-98.386111,13,48_029_0021,Braunig Lake Power Plant
48_029_0022,29,1-Jan-69,31-Dec-83,29.527778,-98.474444,13,48_029_0022,San Antonio International Airport
48_029_0023,30,1-Jan-73,31-Dec-73,29.59,-98.641111,13,48_029_0023,Hills and Dales Water Company
48_029_0024,31,1-Jan-71,1-Jan-81,29.4375,-98.564444,13,48_029_0024,Flagle Street Water Pump Station
48_029_0026,32,1-Jan-71,30-Jun-80,29.367778,-98.543611,13,48_029_0026,Southcross
48_029_0027,33,1-Jan-71,30-Jun-80,29.435,-98.416111,13,48_029_0027,Gembler Fire Station
48_029_0029,34,1-Jan-71,1-Jan-73,29.508333,-98.403333,13,48_029_0029,Walzem Pump Station
48_029_0032,35,1-Jul-81,,29.51509,-98.620166,13,48_029_0032,San Antonio Northwest
48_029_0033,36,1-Jan-72,30-Jun-80,29.359444,-98.448889,13,48_029_0033,New Braunfels Road
48_029_0034,37,1-Jan-72,7-Oct-99,29.415278,-98.484722,13,48_029_0034,NW of Bowie &amp; Durange Streets Intersection
48_029_0035,38,1-Jan-73,31-Dec-76,29.44,-98.824722,13,48_029_0035,EPA-480290035
48_029_0036,39,1-Sep-72,11-Aug-98,29.504722,-98.538889,13,48_029_0036,San Antonio North
48_029_0037,40,1-Jan-75,31-Dec-76,29.4375,-98.564444,13,48_029_0037,Flagle Street
48_029_0038,41,1-Jan-75,31-Dec-80,29.370278,-98.545833,13,48_029_0038,West Southcross
48_029_0039,42,1-Jan-75,1-Jan-79,29.435,-98.4125,13,48_029_0039,Gembler
48_029_0040,43,5-Jan-74,31-Dec-88,29.361944,-98.447222,13,48_029_0040,South New Braunfels
48_029_0041,44,1-Jan-77,31-Dec-81,29.429167,-98.493889,13,48_029_0041,Salinas and Camaron
48_029_0042,45,1-Jan-79,30-Dec-96,29.372778,-98.54,13,48_029_0042,East Kelly AFB
48_029_0044,46,1-Jan-84,10-Jan-90,29.518889,-98.473056,13,48_029_0044,International Airport Loop
48_029_0045,47,1-Jan-80,31-Dec-85,29.588889,-98.358333,13,48_029_0045,Kings Mountain
48_029_0046,48,1-Sep-81,6-Oct-10,29.426944,-98.486389,13,48_029_0046,San Antonio Downtown
48_029_0047,49,1-Jan-82,30-Jun-83,29.316667,-98.45,13,48_029_0047,Espada Road
48_029_0048,50,1-Jan-83,31-Dec-87,29.440278,-98.6125,13,48_029_0048,Culebra Road 2
48_029_0050,51,1-Jan-71,30-Dec-96,29.530278,-98.478333,13,48_029_0050,IH-410 San Antonio International Airport
